,Source,Target,Weight
251,Loke,Odin,4
252,Son,Mead,4
253,Bodn,Mead,4
254,Bolverk,Mead,4
255,Suttung,Bauge,4
256,Bauge,Auger,4
257,Bauge,Hole,4
258,Odin,Gift,4
259,Odin,Æger,4
260,Odin,Ways,4
261,Thor,Horse,4
262,Hrungner,Flint-stone,4
263,Gjalp,Geirrod,4
264,Geirrod,Hall,4
265,Æger,Gold,4
266,Æger,Ran,4
267,Æger,Daughters,4
268,Glaser,Leaves,4
269,Loke,Brok,4
270,Brok,Treasures,4
271,Loke,Mouth,4
272,Fafner,Brother,4
273,Hreidmar,Gold,4
274,Loke,Andvare,4
275,Sigmund,Son,4
276,Fafner,Sigurd,4
277,Fafner,Heart,4
278,Sigurd,Grane,4
279,Sigurd,Rode,4
280,Gjuke,Gunnar,4
281,Gjuke,Gudrun,4
282,Gunnar,Gjuke,4
283,Sigurd,Gudrun,4
284,Sigurd,Atle,4
285,Gudrun,Hair,4
286,Sigurd,Guthorm,4
287,Guthorm,Sigurd,4
288,Jormunrek,King,4
289,Svithjod,Name,4
290,Vog,Rolf,4
291,Rolf,King,4
292,Greeks,Romans,4
293,Romans,Odin,4
294,Mithridates,Odin,4
295,Odin,North,4
296,Gylfe,Odin,4
297,Black,Sea,4
298,Svithjod,Great,4
299,Asia,Footnote,4
300,Odin,Battle,4
301,Norse,Word,4
302,Frey,People,4
303,Odin,Asaland,4
304,Njord,People,4
305,Edda,Odin,4
306,Gylfe,People,4
307,Gylfe,Asaland,4
308,Swedes,Frey,4
309,Fjolner,Name,4
310,Hler,Loge,4
311,Kare,Son,4
312,Froste,Son,4
313,Witch_,Graymalkin,4
314,Act,Scene,4
315,Adela,Fay,4
316,Freyja,Abode,4
317,Odin,Ornament,4
318,Balder,World,4
319,Ham,Region,3
320,Troy,Land,3
321,Saturn,Crete,3
322,Jupiter,Realm,3
323,Cerberos,Hell,3
324,Njord,Son,3
325,Herikon,Son,3
326,Roman,Odin,3
327,Asia,Country,3
328,Bjaf,Son,3
329,Jat,Son,3
330,Odin,Man,3
331,Odin,Sons,3
332,Frjodigar,Son,3
333,Yvigg,Son,3
334,Odin,Kingdom,3
335,Odin,Place,3
336,Odin,Chiefs,3
337,Troy,Men,3
338,Troy,Turks,3
339,Odin,Sweden,3
340,Sweden,England,3
341,Sweden,Malar,3
342,Logrinn,Lake,3
343,Lake,Sweden,3
344,Gefjun,Glad,3
345,Gefjun,Denmark,3
346,Gefjun,Increase,3
347,Gylfe,Denmark,3
348,Denmark,Increase,3
349,Denmark,Heads,3
350,Denmark,Eyes,3
351,Gylfe,Man,3
352,Thjodolf,Hvin,3
353,Valhal,Door,3
354,Har,Jafnhar,3
355,Jafnhar,Thride,3
356,Thride,Har,3
357,Hnikar,Hnikud,3
358,Hnikar,Fjolner,3
359,Hnikar,Oske,3
360,Oske,Ome,3
361,Oske,Biflinde,3
362,Ome,Biflinde,3
363,Har,Ganglere,3
364,Said,Ganglere,3
365,Said,Har,3
366,Har,Sea,3
367,Ginungagap,Earth,3
368,Gjoll,Hel,3
369,Surt,Sword,3
370,Niflheim,Ginungagap,3
371,Muspelheim,Ginungagap,3
372,Ymer,Ganglere,3
373,Ymer,Answered,3
374,Har,Day,3
375,Bor,Sons,3
376,Elder,Vala,3
377,Elder,Prophecy,3
378,Edda,Vala,3
379,Edda,Prophecy,3
380,Edda,Norse,3
381,Har,Earth,3
382,Midgard,Sons,3
383,Elder,Lay,3
384,Edda,Lay,3
385,Edda,Chapter,3
386,Lay,Ganglere,3
387,Troy,Adventures,3
388,Hlidskjalf,World,3
389,Jotunheim,Name,3
390,Muspelheim,Gods,3
391,Jotunheim,Gods,3
392,Mimer,Wisdom,3
393,Vala,Mimer,3
394,Prophecy,Odin,3
395,Odin,Mead,3
396,Mimer,Heaven,3
397,Sleipner,Odin,3
398,Urd,Verdande,3
399,Verdande,Skuld,3
400,Ofner,Svafner,3
401,Himinbjorg,Heaven,3
402,Surt,Fire,3
403,Har,Heaven,3
404,Ganglere,Asas,3
405,Grim,Name,3
406,Grimner,Jalk,3
407,Sidhot,Sidskeg,3
408,Thor,Asa-thor,3
409,Njord,Skade,3
410,Noatun,Footnote,3
411,Noatun,Son,3
412,Thjasse,Skade,3
413,Thjasse,Father,3
414,Skade,Gods,3
415,Frey,Asas,3
416,Folkvang,Half,3
417,Tyr,Asas,3
418,Ragnarok,Ganglere,3
419,Vidar,Thor,3
420,Thor,Vale,3
421,Forsete,Loke,3
422,Laufey,Loke,3
423,Loke,Wolf,3
424,Frigg,Freyja,3
425,Freyja,Name,3
426,Freyja,Hnos,3
427,Odin,Victory,3
428,Thor,Wife,3
429,Frey,Sword,3
430,Frey,Journey,3
431,Frey,Night,3
432,Ganglere,Odin,3
433,Hugin,Munin,3
434,Har,Valhal,3
435,Odin,Peace,3
436,Ygdrasil,Asas,3
437,Skidbladner,Ships,3
438,Brage,Chapter,3
