,AIR,ANIMALS,APOLLO,APPLE,ARK,ARM,ARROW,ASS,BASKET,BATH,BEAR,BELL,BIRD,BIRDS,BLOOD,BOAT,BODY,BOOK,BOTTLE,BOW,BOX,BRANCH,BRIDGE,CASTLE,CHAIN,CHARIOT,CHILD,CIRCLE,CITY,CLOAK,CLOTHES,CLOUDS,COLD,COLUMN,COMBAT,COW,CROSS,CROWD,CROWN,CRYSTAL,DANCE,DARKNESS,DEATH,DESERT,DESTRUCTION,DEVIL,DISGUISE,DOG,DOOR,DOVE,DRAGON,DRINK,DUST,DWARF,EAGLE,EARTH,EGYPT,EMPEROR,EVE,EYE,FARMER,FATHER,FIELDS,FIGHT,FIRE,FISH,FLIGHT,FLUTE,FOOT,FOREST,FOUNTAIN,FRUIT,GARDEN,GARLAND,GIANT,GOBLET,GOLD,HAIR,HALO,HAND,HARE,HAT,HEAD,HEART,HEAVEN,HELL,HERO,HORNS,HORSE,HOUSE,HUNT,HUNTER,INSTRUMENTS,ISLAND,IVY,JOURNEY,JUPITER,KING,KNIFE,LAMP,LAUREL,LIFE,LIGHT,LION,LOVE,LOVER,MAN,MARRIAGE,MARS,MASK,MEADOW,MIRROR,MIST,MOON,MOTHER,MOUNTAIN,MOUTH,MUSIC,MUSICIAN,NATURE,NIGHT,NUMBERS,TEN,NYMPHS,PALACE,PAN,PARADISE,PILLAR,POINT,POMEGRANATE,POWER,PRINCE,PROCESSION,RADIANCE,RELIEF,RING,RIVER,ROCK,ROOM,RUINS,SACRIFICE,SEA,SEASONS,SECRET,SERPENT,SHEPHERD,SHIP,SIGN,SKIN,SKULL,SNOW,SPACE,STAG,STARS,STONE,STORM,STRENGTH,SUN,SWORD,TEMPLE,THORN,THREAD,THRONE,TIME,TOMB,TOWER,TREASURE,TREE,TRIUMPH,TWILIGHT,VALLEY,VENUS,VESSEL,VICTORY,VINE,VOYAGE,WALL,WAR,WARRIORS,WATER,WAVES,WEAVING,WELL,WEST,WHEEL,WHITE,WIND,WINDOW,WINE,WINGS,WOLF,WOMAN,WOOD,WORLD
BEAR,23.0,32.0,8.0,1.0,17.0,11.0,4.0,42.0,3.0,2.0,68.0,4.0,16.0,9.0,15.0,4.0,12.0,8.0,0.0,2.0,4.0,3.0,3.0,8.0,6.0,13.0,9.0,13.0,16.0,4.0,12.0,7.0,2.0,7.0,3.0,7.0,20.0,2.0,10.0,3.0,7.0,10.0,21.0,6.0,8.0,8.0,5.0,10.0,5.0,4.0,24.0,1.0,3.0,4.0,20.0,25.0,22.0,10.0,40.0,11.0,3.0,7.0,2.0,6.0,16.0,8.0,5.0,0.0,1.0,5.0,8.0,4.0,4.0,5.0,10.0,2.0,16.0,6.0,3.0,19.0,6.0,57.0,28.0,6.0,21.0,8.0,11.0,13.0,15.0,6.0,3.0,7.0,3.0,5.0,2.0,10.0,6.0,27.0,2.0,3.0,0.0,30.0,15.0,18.0,14.0,4.0,53.0,5.0,8.0,7.0,1.0,8.0,9.0,20.0,15.0,21.0,8.0,13.0,1.0,26.0,13.0,11.0,39.0,4.0,3.0,15.0,4.0,4.0,26.0,1.0,20.0,2.0,13.0,1.0,3.0,43.0,5.0,9.0,4.0,0.0,8.0,13.0,16.0,2.0,18.0,2.0,26.0,35.0,6.0,7.0,2.0,23.0,20.0,8.0,15.0,3.0,10.0,27.0,14.0,19.0,4.0,3.0,5.0,33.0,4.0,10.0,7.0,19.0,10.0,5.0,6.0,5.0,1.0,7.0,6.0,5.0,7.0,31.0,3.0,23.0,3.0,1.0,23.0,15.0,16.0,16.0,5.0,4.0,1.0,9.0,3.0,15.0,12.0,31.0
BELL,5.0,14.0,2.0,4.0,10.0,10.0,4.0,15.0,0.0,2.0,4.0,23.0,7.0,3.0,6.0,1.0,5.0,3.0,2.0,1.0,3.0,2.0,5.0,6.0,5.0,3.0,5.0,6.0,7.0,5.0,3.0,2.0,2.0,3.0,3.0,5.0,6.0,0.0,6.0,1.0,4.0,2.0,6.0,3.0,3.0,4.0,0.0,4.0,1.0,5.0,11.0,1.0,4.0,3.0,7.0,6.0,3.0,3.0,15.0,7.0,2.0,6.0,2.0,5.0,9.0,8.0,3.0,4.0,4.0,3.0,5.0,1.0,3.0,2.0,6.0,2.0,5.0,3.0,2.0,7.0,2.0,19.0,11.0,5.0,7.0,6.0,7.0,7.0,5.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,3.0,14.0,1.0,3.0,1.0,7.0,8.0,8.0,3.0,0.0,17.0,2.0,4.0,2.0,0.0,5.0,5.0,6.0,7.0,8.0,7.0,7.0,0.0,6.0,2.0,1.0,14.0,1.0,2.0,3.0,1.0,2.0,7.0,2.0,8.0,4.0,4.0,1.0,2.0,12.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,3.0,5.0,1.0,9.0,15.0,3.0,4.0,1.0,7.0,5.0,4.0,5.0,2.0,6.0,4.0,7.0,7.0,1.0,0.0,1.0,13.0,2.0,5.0,4.0,7.0,4.0,5.0,1.0,3.0,2.0,7.0,1.0,1.0,2.0,12.0,1.0,6.0,0.0,0.0,7.0,5.0,7.0,4.0,4.0,3.0,2.0,6.0,2.0,4.0,4.0,10.0
BIRD,34.0,60.0,13.0,7.0,35.0,22.0,8.0,60.0,4.0,7.0,16.0,7.0,100.0,33.0,34.0,13.0,16.0,15.0,1.0,7.0,14.0,8.0,14.0,19.0,19.0,24.0,24.0,28.0,33.0,11.0,25.0,12.0,10.0,21.0,11.0,6.0,39.0,9.0,30.0,6.0,15.0,19.0,45.0,16.0,16.0,14.0,6.0,16.0,9.0,11.0,45.0,10.0,6.0,9.0,48.0,32.0,25.0,18.0,62.0,28.0,12.0,15.0,5.0,20.0,36.0,25.0,19.0,5.0,14.0,13.0,14.0,5.0,11.0,12.0,23.0,9.0,19.0,14.0,12.0,39.0,14.0,82.0,41.0,23.0,41.0,26.0,23.0,28.0,34.0,18.0,7.0,20.0,6.0,11.0,0.0,21.0,11.0,46.0,5.0,6.0,7.0,42.0,34.0,31.0,24.0,13.0,75.0,9.0,16.0,15.0,5.0,28.0,17.0,31.0,30.0,47.0,23.0,35.0,6.0,35.0,17.0,17.0,51.0,11.0,10.0,23.0,8.0,10.0,35.0,7.0,41.0,5.0,24.0,3.0,7.0,42.0,10.0,10.0,11.0,5.0,18.0,26.0,18.0,11.0,37.0,4.0,40.0,60.0,14.0,9.0,6.0,45.0,26.0,17.0,26.0,11.0,18.0,35.0,33.0,43.0,6.0,2.0,6.0,50.0,3.0,25.0,19.0,35.0,12.0,21.0,10.0,11.0,4.0,14.0,6.0,9.0,20.0,34.0,6.0,52.0,7.0,4.0,30.0,21.0,39.0,26.0,18.0,10.0,7.0,21.0,10.0,28.0,10.0,40.0
BIRDS,19.0,28.0,9.0,2.0,16.0,12.0,5.0,30.0,1.0,3.0,9.0,3.0,33.0,43.0,14.0,7.0,9.0,6.0,0.0,4.0,4.0,3.0,6.0,10.0,11.0,10.0,10.0,14.0,14.0,4.0,12.0,6.0,3.0,9.0,5.0,5.0,17.0,2.0,12.0,2.0,9.0,9.0,21.0,11.0,10.0,4.0,2.0,8.0,2.0,8.0,19.0,4.0,3.0,3.0,22.0,23.0,19.0,7.0,29.0,12.0,5.0,6.0,3.0,8.0,17.0,16.0,10.0,1.0,5.0,6.0,6.0,4.0,5.0,7.0,9.0,5.0,10.0,7.0,6.0,18.0,10.0,35.0,20.0,10.0,22.0,16.0,11.0,13.0,13.0,11.0,2.0,9.0,3.0,7.0,0.0,5.0,5.0,18.0,2.0,2.0,4.0,23.0,19.0,15.0,5.0,4.0,38.0,6.0,6.0,7.0,2.0,12.0,9.0,12.0,13.0,22.0,11.0,16.0,0.0,13.0,6.0,5.0,23.0,2.0,4.0,15.0,3.0,6.0,15.0,3.0,18.0,2.0,12.0,3.0,4.0,19.0,4.0,5.0,3.0,3.0,6.0,14.0,11.0,5.0,16.0,2.0,20.0,29.0,6.0,7.0,5.0,21.0,18.0,9.0,8.0,6.0,4.0,18.0,10.0,15.0,4.0,1.0,4.0,23.0,2.0,13.0,7.0,20.0,7.0,10.0,6.0,2.0,3.0,7.0,8.0,4.0,9.0,14.0,2.0,24.0,2.0,4.0,15.0,9.0,14.0,10.0,7.0,6.0,4.0,7.0,6.0,11.0,3.0,24.0
BLOOD,31.0,48.0,12.0,3.0,26.0,23.0,8.0,54.0,4.0,7.0,15.0,6.0,34.0,14.0,83.0,12.0,16.0,12.0,2.0,9.0,12.0,5.0,9.0,19.0,22.0,19.0,26.0,19.0,26.0,12.0,17.0,11.0,10.0,19.0,12.0,4.0,36.0,7.0,27.0,7.0,15.0,14.0,37.0,13.0,19.0,16.0,5.0,17.0,9.0,10.0,42.0,8.0,3.0,8.0,39.0,29.0,23.0,15.0,47.0,26.0,12.0,15.0,4.0,21.0,34.0,22.0,13.0,6.0,11.0,12.0,15.0,2.0,8.0,9.0,25.0,9.0,29.0,15.0,7.0,35.0,12.0,69.0,30.0,12.0,31.0,20.0,28.0,26.0,39.0,18.0,10.0,15.0,6.0,11.0,1.0,20.0,6.0,47.0,7.0,6.0,5.0,38.0,30.0,28.0,18.0,6.0,64.0,10.0,15.0,12.0,4.0,25.0,18.0,27.0,33.0,38.0,20.0,35.0,4.0,31.0,20.0,13.0,43.0,10.0,9.0,19.0,7.0,7.0,26.0,8.0,39.0,7.0,19.0,6.0,9.0,39.0,9.0,12.0,11.0,6.0,23.0,19.0,15.0,12.0,32.0,3.0,35.0,55.0,10.0,7.0,8.0,33.0,28.0,18.0,32.0,7.0,20.0,30.0,38.0,35.0,4.0,5.0,5.0,37.0,4.0,25.0,20.0,32.0,18.0,18.0,9.0,6.0,4.0,13.0,13.0,9.0,16.0,36.0,5.0,44.0,7.0,3.0,29.0,13.0,32.0,21.0,13.0,8.0,13.0,21.0,12.0,19.0,10.0,37.0
BOAT,12.0,20.0,4.0,1.0,11.0,9.0,3.0,20.0,2.0,2.0,4.0,1.0,13.0,7.0,12.0,35.0,10.0,4.0,4.0,5.0,5.0,2.0,7.0,6.0,8.0,12.0,10.0,13.0,10.0,3.0,8.0,6.0,3.0,12.0,6.0,2.0,22.0,4.0,10.0,4.0,7.0,4.0,15.0,11.0,9.0,4.0,5.0,6.0,4.0,3.0,16.0,4.0,0.0,5.0,15.0,12.0,13.0,5.0,21.0,11.0,10.0,0.0,2.0,7.0,19.0,9.0,7.0,4.0,7.0,10.0,4.0,2.0,9.0,5.0,9.0,6.0,7.0,4.0,6.0,9.0,7.0,29.0,14.0,10.0,15.0,11.0,12.0,9.0,11.0,11.0,2.0,10.0,2.0,7.0,0.0,11.0,1.0,20.0,1.0,5.0,4.0,18.0,10.0,12.0,6.0,2.0,28.0,3.0,6.0,6.0,2.0,13.0,5.0,10.0,16.0,11.0,8.0,11.0,1.0,11.0,6.0,9.0,12.0,4.0,4.0,8.0,4.0,2.0,11.0,3.0,14.0,2.0,14.0,1.0,1.0,16.0,5.0,3.0,4.0,5.0,6.0,14.0,8.0,3.0,14.0,2.0,18.0,21.0,5.0,4.0,3.0,17.0,10.0,7.0,14.0,3.0,4.0,17.0,10.0,18.0,4.0,1.0,4.0,23.0,2.0,8.0,6.0,15.0,4.0,9.0,7.0,3.0,6.0,4.0,3.0,10.0,8.0,17.0,3.0,24.0,3.0,3.0,11.0,8.0,16.0,11.0,7.0,4.0,3.0,8.0,5.0,11.0,1.0,18.0
BODY,21.0,28.0,11.0,2.0,23.0,19.0,7.0,46.0,3.0,3.0,12.0,5.0,16.0,9.0,16.0,10.0,80.0,11.0,1.0,4.0,7.0,4.0,5.0,10.0,8.0,13.0,12.0,16.0,17.0,2.0,10.0,7.0,6.0,15.0,3.0,3.0,22.0,1.0,12.0,3.0,5.0,6.0,21.0,12.0,11.0,10.0,4.0,9.0,5.0,10.0,26.0,2.0,4.0,4.0,19.0,33.0,28.0,6.0,49.0,18.0,4.0,7.0,5.0,9.0,25.0,14.0,9.0,2.0,10.0,8.0,4.0,1.0,8.0,6.0,10.0,5.0,19.0,11.0,8.0,28.0,3.0,67.0,35.0,12.0,20.0,11.0,13.0,15.0,16.0,13.0,4.0,10.0,3.0,10.0,1.0,6.0,9.0,38.0,2.0,3.0,2.0,33.0,23.0,18.0,14.0,5.0,65.0,3.0,7.0,10.0,2.0,13.0,14.0,17.0,17.0,23.0,13.0,17.0,3.0,22.0,14.0,5.0,45.0,4.0,4.0,15.0,7.0,5.0,32.0,2.0,23.0,4.0,15.0,4.0,5.0,34.0,8.0,5.0,5.0,1.0,8.0,19.0,9.0,7.0,19.0,2.0,32.0,54.0,8.0,6.0,1.0,25.0,12.0,7.0,16.0,7.0,11.0,27.0,13.0,24.0,2.0,3.0,3.0,38.0,2.0,9.0,4.0,20.0,9.0,8.0,7.0,6.0,2.0,9.0,8.0,5.0,9.0,29.0,1.0,31.0,5.0,1.0,25.0,16.0,14.0,14.0,4.0,5.0,4.0,10.0,9.0,15.0,7.0,25.0
BOOK,6.0,19.0,3.0,4.0,10.0,9.0,4.0,20.0,0.0,2.0,8.0,3.0,15.0,6.0,12.0,4.0,11.0,37.0,1.0,3.0,4.0,3.0,5.0,11.0,6.0,9.0,8.0,12.0,12.0,3.0,8.0,5.0,7.0,11.0,4.0,2.0,16.0,2.0,11.0,3.0,6.0,7.0,10.0,8.0,7.0,3.0,2.0,4.0,3.0,5.0,19.0,4.0,2.0,4.0,18.0,9.0,12.0,10.0,23.0,7.0,4.0,5.0,1.0,8.0,14.0,8.0,8.0,2.0,5.0,6.0,3.0,0.0,5.0,5.0,11.0,6.0,11.0,4.0,4.0,15.0,7.0,33.0,14.0,8.0,12.0,11.0,13.0,9.0,10.0,6.0,3.0,9.0,3.0,3.0,2.0,6.0,7.0,23.0,3.0,1.0,3.0,14.0,10.0,9.0,8.0,5.0,25.0,3.0,9.0,5.0,0.0,10.0,5.0,8.0,10.0,20.0,10.0,12.0,3.0,10.0,4.0,7.0,19.0,2.0,7.0,10.0,2.0,2.0,16.0,3.0,19.0,5.0,9.0,1.0,5.0,14.0,4.0,3.0,7.0,2.0,11.0,7.0,7.0,8.0,13.0,1.0,15.0,20.0,4.0,5.0,1.0,19.0,8.0,8.0,11.0,2.0,7.0,10.0,14.0,12.0,3.0,1.0,1.0,16.0,3.0,10.0,9.0,16.0,6.0,7.0,6.0,2.0,1.0,6.0,4.0,4.0,6.0,17.0,2.0,14.0,2.0,2.0,14.0,10.0,13.0,8.0,5.0,2.0,3.0,4.0,5.0,9.0,3.0,20.0
BOTTLE,3.0,4.0,0.0,2.0,4.0,2.0,1.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,5.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,5.0,4.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0
BOW,7.0,10.0,6.0,0.0,9.0,7.0,7.0,19.0,2.0,2.0,2.0,1.0,7.0,4.0,9.0,5.0,4.0,3.0,1.0,29.0,2.0,1.0,5.0,5.0,6.0,4.0,5.0,8.0,7.0,2.0,2.0,1.0,1.0,5.0,4.0,0.0,13.0,1.0,14.0,2.0,2.0,5.0,8.0,4.0,7.0,3.0,1.0,4.0,3.0,3.0,13.0,4.0,0.0,2.0,10.0,12.0,5.0,3.0,15.0,5.0,2.0,3.0,1.0,6.0,9.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,4.0,5.0,5.0,5.0,7.0,5.0,3.0,9.0,3.0,25.0,10.0,8.0,10.0,4.0,8.0,7.0,7.0,2.0,1.0,3.0,3.0,3.0,0.0,6.0,3.0,15.0,1.0,1.0,5.0,10.0,12.0,7.0,4.0,0.0,18.0,3.0,7.0,4.0,1.0,4.0,3.0,4.0,5.0,11.0,5.0,8.0,0.0,7.0,5.0,4.0,14.0,1.0,3.0,7.0,3.0,1.0,6.0,2.0,15.0,4.0,4.0,1.0,2.0,11.0,1.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,9.0,1.0,9.0,18.0,2.0,2.0,2.0,10.0,5.0,4.0,7.0,2.0,3.0,9.0,14.0,7.0,5.0,1.0,2.0,12.0,0.0,5.0,4.0,10.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,9.0,2.0,11.0,3.0,2.0,8.0,2.0,8.0,6.0,4.0,1.0,2.0,8.0,5.0,2.0,3.0,14.0
BOX,7.0,17.0,1.0,2.0,10.0,5.0,3.0,17.0,1.0,1.0,4.0,3.0,14.0,4.0,12.0,5.0,7.0,4.0,2.0,2.0,26.0,3.0,7.0,5.0,8.0,8.0,8.0,10.0,11.0,4.0,7.0,3.0,2.0,11.0,3.0,2.0,16.0,1.0,10.0,2.0,4.0,4.0,13.0,6.0,4.0,3.0,3.0,5.0,4.0,2.0,13.0,4.0,3.0,5.0,12.0,7.0,5.0,4.0,13.0,10.0,5.0,2.0,3.0,4.0,7.0,8.0,5.0,4.0,7.0,4.0,5.0,0.0,3.0,5.0,7.0,3.0,5.0,6.0,3.0,10.0,7.0,18.0,12.0,6.0,14.0,9.0,7.0,13.0,12.0,7.0,4.0,6.0,5.0,4.0,1.0,9.0,3.0,15.0,2.0,2.0,1.0,11.0,8.0,11.0,5.0,3.0,25.0,4.0,5.0,5.0,1.0,11.0,4.0,8.0,10.0,13.0,9.0,10.0,3.0,10.0,8.0,7.0,11.0,6.0,3.0,11.0,3.0,4.0,13.0,2.0,8.0,3.0,7.0,2.0,1.0,12.0,2.0,4.0,5.0,3.0,5.0,7.0,8.0,5.0,13.0,0.0,11.0,16.0,6.0,5.0,0.0,17.0,12.0,6.0,12.0,3.0,5.0,6.0,15.0,13.0,1.0,1.0,2.0,14.0,2.0,9.0,10.0,15.0,5.0,8.0,5.0,2.0,2.0,4.0,1.0,2.0,5.0,8.0,4.0,14.0,2.0,2.0,8.0,6.0,15.0,5.0,3.0,2.0,5.0,5.0,3.0,11.0,3.0,10.0
BRANCH,5.0,8.0,2.0,2.0,7.0,7.0,4.0,13.0,2.0,2.0,3.0,2.0,8.0,3.0,5.0,2.0,4.0,3.0,1.0,1.0,3.0,21.0,3.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,3.0,2.0,1.0,5.0,0.0,1.0,12.0,0.0,7.0,1.0,2.0,1.0,8.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,3.0,6.0,8.0,5.0,3.0,16.0,2.0,3.0,0.0,1.0,2.0,8.0,3.0,1.0,3.0,3.0,3.0,5.0,2.0,2.0,5.0,3.0,0.0,5.0,3.0,0.0,8.0,2.0,16.0,8.0,4.0,8.0,4.0,4.0,8.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,9.0,2.0,2.0,2.0,12.0,10.0,5.0,6.0,0.0,16.0,2.0,3.0,2.0,1.0,2.0,4.0,6.0,5.0,11.0,3.0,4.0,0.0,4.0,5.0,2.0,11.0,4.0,0.0,3.0,4.0,3.0,13.0,2.0,2.0,0.0,2.0,1.0,1.0,12.0,2.0,3.0,1.0,1.0,6.0,5.0,6.0,2.0,10.0,0.0,11.0,11.0,6.0,1.0,1.0,8.0,8.0,1.0,2.0,0.0,4.0,4.0,9.0,9.0,3.0,0.0,2.0,13.0,0.0,6.0,4.0,13.0,3.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,3.0,11.0,2.0,8.0,1.0,1.0,7.0,6.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,7.0,9.0
BRIDGE,7.0,17.0,4.0,3.0,16.0,7.0,2.0,17.0,1.0,3.0,3.0,5.0,14.0,6.0,9.0,7.0,5.0,5.0,1.0,5.0,7.0,3.0,23.0,13.0,8.0,9.0,12.0,13.0,11.0,6.0,9.0,8.0,2.0,12.0,5.0,5.0,18.0,3.0,12.0,3.0,8.0,8.0,15.0,7.0,8.0,6.0,3.0,8.0,5.0,4.0,16.0,4.0,4.0,6.0,15.0,10.0,6.0,5.0,16.0,10.0,10.0,5.0,3.0,8.0,12.0,10.0,5.0,4.0,7.0,7.0,5.0,1.0,8.0,7.0,11.0,5.0,7.0,4.0,5.0,10.0,8.0,20.0,17.0,8.0,18.0,15.0,9.0,9.0,13.0,10.0,4.0,8.0,1.0,7.0,0.0,12.0,3.0,14.0,3.0,2.0,4.0,16.0,14.0,10.0,7.0,4.0,22.0,4.0,7.0,6.0,2.0,9.0,7.0,10.0,11.0,19.0,10.0,13.0,4.0,5.0,7.0,8.0,13.0,6.0,4.0,6.0,3.0,5.0,10.0,4.0,12.0,1.0,8.0,2.0,1.0,12.0,5.0,6.0,7.0,5.0,4.0,8.0,5.0,4.0,12.0,1.0,16.0,17.0,5.0,5.0,3.0,17.0,13.0,10.0,12.0,5.0,4.0,11.0,14.0,16.0,3.0,1.0,3.0,16.0,2.0,10.0,9.0,17.0,3.0,11.0,7.0,4.0,3.0,4.0,3.0,4.0,11.0,12.0,2.0,17.0,2.0,3.0,10.0,6.0,16.0,11.0,6.0,5.0,6.0,4.0,6.0,8.0,3.0,15.0
CASTLE,17.0,31.0,3.0,5.0,28.0,16.0,5.0,37.0,1.0,5.0,8.0,6.0,19.0,10.0,19.0,6.0,10.0,11.0,4.0,5.0,5.0,4.0,13.0,49.0,13.0,12.0,16.0,22.0,22.0,9.0,13.0,11.0,6.0,18.0,6.0,4.0,22.0,7.0,17.0,3.0,10.0,14.0,22.0,9.0,10.0,7.0,3.0,10.0,10.0,10.0,29.0,5.0,3.0,7.0,22.0,19.0,13.0,11.0,35.0,18.0,12.0,10.0,5.0,14.0,25.0,10.0,12.0,5.0,8.0,11.0,9.0,0.0,8.0,7.0,16.0,6.0,18.0,8.0,4.0,19.0,7.0,46.0,25.0,14.0,22.0,18.0,22.0,12.0,17.0,18.0,4.0,13.0,4.0,8.0,0.0,21.0,8.0,29.0,1.0,7.0,3.0,26.0,20.0,12.0,11.0,6.0,42.0,7.0,11.0,8.0,1.0,18.0,12.0,23.0,20.0,33.0,13.0,25.0,4.0,13.0,12.0,13.0,26.0,4.0,8.0,12.0,4.0,8.0,22.0,7.0,20.0,4.0,13.0,3.0,6.0,23.0,7.0,7.0,12.0,2.0,10.0,11.0,6.0,9.0,22.0,2.0,29.0,38.0,7.0,7.0,4.0,31.0,15.0,12.0,24.0,5.0,14.0,17.0,22.0,29.0,3.0,2.0,5.0,30.0,3.0,20.0,14.0,25.0,7.0,15.0,7.0,6.0,4.0,6.0,2.0,8.0,16.0,28.0,3.0,32.0,3.0,3.0,26.0,10.0,20.0,16.0,12.0,8.0,7.0,9.0,5.0,15.0,8.0,27.0
CHAIN,17.0,28.0,8.0,5.0,14.0,15.0,7.0,26.0,2.0,6.0,6.0,5.0,19.0,11.0,22.0,8.0,8.0,6.0,2.0,6.0,8.0,5.0,8.0,13.0,43.0,11.0,17.0,13.0,13.0,9.0,13.0,10.0,5.0,12.0,8.0,5.0,17.0,4.0,15.0,4.0,11.0,7.0,14.0,8.0,9.0,7.0,3.0,9.0,6.0,4.0,23.0,5.0,3.0,6.0,20.0,15.0,15.0,8.0,24.0,16.0,5.0,10.0,6.0,14.0,21.0,11.0,5.0,4.0,8.0,8.0,7.0,2.0,5.0,5.0,12.0,5.0,15.0,8.0,4.0,17.0,6.0,33.0,16.0,10.0,25.0,14.0,14.0,16.0,17.0,11.0,3.0,7.0,4.0,4.0,0.0,10.0,6.0,25.0,0.0,4.0,3.0,15.0,17.0,15.0,7.0,4.0,38.0,9.0,8.0,8.0,1.0,10.0,14.0,12.0,16.0,22.0,12.0,20.0,1.0,13.0,7.0,10.0,20.0,6.0,7.0,8.0,1.0,6.0,13.0,6.0,18.0,3.0,7.0,1.0,5.0,20.0,4.0,6.0,5.0,2.0,10.0,10.0,5.0,8.0,17.0,2.0,23.0,30.0,9.0,3.0,5.0,25.0,13.0,9.0,20.0,3.0,8.0,15.0,19.0,24.0,5.0,4.0,5.0,23.0,1.0,14.0,12.0,21.0,7.0,11.0,4.0,4.0,4.0,8.0,7.0,5.0,7.0,18.0,6.0,25.0,4.0,4.0,14.0,8.0,14.0,15.0,10.0,4.0,9.0,10.0,7.0,13.0,3.0,14.0
CHARIOT,22.0,33.0,9.0,3.0,23.0,11.0,3.0,35.0,3.0,4.0,13.0,3.0,24.0,10.0,19.0,12.0,13.0,9.0,2.0,4.0,8.0,6.0,9.0,12.0,11.0,56.0,12.0,15.0,13.0,7.0,11.0,9.0,6.0,16.0,4.0,6.0,25.0,4.0,19.0,5.0,7.0,12.0,22.0,10.0,10.0,10.0,6.0,10.0,5.0,6.0,31.0,6.0,3.0,10.0,31.0,20.0,18.0,13.0,33.0,14.0,8.0,9.0,2.0,12.0,27.0,10.0,9.0,4.0,9.0,10.0,9.0,1.0,5.0,8.0,16.0,4.0,17.0,11.0,4.0,21.0,11.0,40.0,26.0,11.0,18.0,15.0,13.0,12.0,24.0,12.0,7.0,12.0,2.0,5.0,0.0,11.0,7.0,26.0,2.0,5.0,5.0,26.0,23.0,24.0,10.0,5.0,44.0,4.0,7.0,12.0,3.0,15.0,9.0,24.0,19.0,26.0,13.0,23.0,4.0,23.0,9.0,13.0,20.0,6.0,6.0,12.0,3.0,7.0,24.0,4.0,21.0,2.0,22.0,5.0,1.0,26.0,5.0,8.0,10.0,4.0,11.0,14.0,13.0,5.0,21.0,3.0,21.0,35.0,12.0,6.0,3.0,25.0,15.0,15.0,21.0,8.0,13.0,25.0,20.0,23.0,3.0,3.0,6.0,28.0,1.0,17.0,14.0,21.0,15.0,11.0,8.0,5.0,5.0,11.0,4.0,9.0,12.0,21.0,5.0,27.0,4.0,3.0,19.0,11.0,20.0,17.0,15.0,7.0,7.0,14.0,9.0,17.0,6.0,25.0
