Source,Target
point,circle
point,city
point,fire
point,guardian
point,head
point,heart
point,horse
point,journey
point,king
point,lance
point,neptune
point,ocean
point,space
point,temple
point,time
point,tower
point,treasure
point,twins
power,arrow
power,bird
power,boar
power,book
power,bow
power,dove
power,eagle
power,father
power,fight
power,fire
power,flight
power,goblet
power,guardian
power,hair
power,hand
power,mercury
power,nought
power,ocean
power,relief
power,river
power,sword
power,weapons
power,wind
relief,sword
return,ash
return,circle
return,fields
return,fire
return,king
return,nine
return,sea
return,ship
return,space
return,steps
return,time
return,water
return,wood
rock,bird
rock,ring
rock,weapons
sacrifice,blood
sacrifice,bull
sacrifice,dog
sacrifice,eagle
sacrifice,fight
sacrifice,fool
sacrifice,horse
sacrifice,lyre
sacrifice,mars
sacrifice,sword
sacrifice,yoke
saturn,child
saturn,death
saturn,stone
saturn,temple
sceptre,chariot
sceptre,weapons
sea,horse
sea,man
sea,ocean
sea,ship
sea,twins
sea,water
shadow,king
shadow,weapons
shield,blood
shield,weapons
sign,apollo
sign,arm
sign,bird
sign,bolt
sign,crown
sign,destruction
sign,dog
sign,eagle
sign,eye
sign,fight
sign,hero
sign,horse
sign,lion
sign,man
sign,ocean
sign,pillar
sign,steps
sign,sword
sign,tent
sign,throne
sign,tower
sign,wall
sign,water
sound,king
sound,rock
space,air
space,centre
space,city
space,dance
space,destruction
space,flight
space,heaven
space,journey
space,love
space,palace
space,saturn
space,ship
space,temple
space,tent
space,time
space,wall
steel,sword
steps,space
steps,temple
steps,treasure
stone,child
stone,mother
stone,rock
stone,space
stone,water
storm,eagle
strength,fire
strength,light
strength,lion
strength,mother
strength,power
strength,thighs
sun,apollo
sun,bird
sun,bull
sun,chariot
sun,circle
sun,crown
sun,disk
sun,eagle
sun,eye
sun,fight
sun,fire
sun,flower
sun,foot
sun,gold
sun,heart
sun,hero
sun,horse
sun,hours
sun,king
sun,lake
sun,lion
sun,man
sun,matter
sun,mercury
sun,ocean
sun,prince
sun,shadow
sun,ship
sun,space
sun,temple
sun,time
sun,water
sword,blood
sword,book
sword,city
sword,fire
sword,gold
sword,weapons
temple,centre
temple,lake
temple,lyre
temple,man
temple,ship
throne,jupiter
time,boar
time,centre
time,dance
time,death
time,destruction
time,eye
time,fire
time,flocks
time,fool
time,heart
time,hell
time,king
time,lake
time,mercury
time,neptune
time,ring
time,river
time,saturn
time,sign
time,space
time,sword
time,temple
time,wall
time,water
treasure,gold
treasure,palace
twins,horse
veil,centre
veil,heaven
veil,tent
venus,belt
venus,diana
victory,chariot
victory,crown
victory,eagle
victory,fire
victory,hercules
victory,king
victory,ship
victory,weapons
wall,house
war,blood
war,combat
war,hero
war,horse
war,lance
war,sword
warriors,hero
water,air
water,blood
water,bull
water,centre
water,destruction
water,eagle
water,fire
water,flight
water,hair
water,horse
water,lake
water,life
water,man
water,mother
water,ocean
water,scales
water,shadow
water,temple
water,twins
water,well
waves,horse
weapons,father
weapons,mars
weapons,sword
well,air
well,bird
well,blood
well,bull
well,centre
well,circle
well,city
well,death
well,door
well,fire
well,hair
well,hand
well,head
well,hell
well,hero
well,horse
well,house
well,journey
well,life
well,man
well,saturn
well,sceptre
well,stone
well,sword
well,twins
wind,air
wind,bird
wind,horse
wine,blood
woman,choice
woman,city
woman,man
woman,mother
woman,ocean
wood,phoenix
wood,sword
year,bull
year,circle
year,journey
year,lake
year,sword
