,Source,Target,Weight
240,Ulysses,Wisdom,5
241,Ulysses,From,5
242,Deep,Day,5
243,Neptune,Gods,5
244,Chief,Ithaca,5
245,Pylus,Tidings,5
246,Ulysses,Spear,5
247,Pallas,Thy,5
248,Gods,Course,5
249,Ulysses,Voice,5
250,Telemachus,Stranger,5
251,Gods,Others,5
252,Ithaca,Stores,5
253,Ulysses,Bark,5
254,Ulysses,Arms,5
255,Gods,Suitors,5
256,Sire,Word,5
257,Pylus,Sparta,5
258,Nestor,Menelaus,5
259,Menelaus,Thou,5
260,Gods,Wine,5
261,Jove,Art,5
262,Ulysses,Day,5
263,Telemachus,Suitors,5
264,Gods,Shall,5
265,Antinoüs,Eupithes,5
266,Jove,Ithaca,5
267,Ulysses,Eurymachus,5
268,Chief,Telemachus,5
269,Telemachus,Pallas,5
270,Ulysses,Godlike,5
271,Ulysses,Board,5
272,Ithaca,Shore,5
273,Ulysses,Youth,5
274,Telemachus,Forth,5
275,Chiefs,Death,5
276,Ithaca,House,5
277,Pallas,Voice,5
278,Ulysses,Twelve,5
279,Pylus,Return,5
280,Hero,Thee,5
281,Goddess,Telemachus,5
282,Ulysses,Prince,5
283,Jove,Night,5
284,Ulysses,Goddess,5
285,Telemachus,Chief,5
286,King,Thou,5
287,Pallas,Pray,5
288,Telemachus,Bark,5
289,Telemachus,Pray,5
290,Agamemnon,Atreus,5
291,Troy,Gods,5
292,Gods,Hero,5
293,Gods,Kind,5
294,God,Man,5
295,Gods,Death,5
296,Telemachus,Hath,5
297,Menelaus,Hero,5
298,Gods,Isle,5
299,Gods,Troy,5
300,Telemachus,Jove,5
301,Jove,Pow'rs,5
302,Him,Answer,5
303,Pow'rs,Jove,5
304,Pow'rs,Thou,5
305,Aurora,East,5
306,Hero,Gods,5
307,Nestor,Steeds,5
308,Gods,Forth,5
309,Jove,Form,5
310,Jove,Man,5
311,Achaia,Ulysses,5
312,Hero,House,5
313,Lord,Thou,5
314,Ulysses,Sat,5
315,Antient,Deep,5
316,Gods,Shore,5
317,Aurora,Forth,5
318,Ithaca,Him,5
319,Hero,King,5
320,Gods,Grant,5
321,Ulysses,Euryclea,5
322,Ulysses,Nurse,5
323,Ulysses,Alas,5
324,Queen,Thou,5
325,Icarius,Suitors,5
326,Gods,Pray,5
327,Gods,Arms,5
328,Jove,Bark,5
329,Jove,Goddess,5
330,Neptune,Land,5
331,Ulysses,Sight,5
332,Jove,Land,5
333,Ulysses,Nausicaa,5
334,Chief,Him,5
335,Gods,Race,5
336,Ulysses,Shoulders,5
337,Phæacia,Thee,5
338,Hero,Alcinoüs,5
339,Chief,Father,5
340,Ulysses,Seat,5
341,Goddess,Land,5
342,Alcinoüs,Daughter,5
343,Alcinoüs,King,5
344,King,Home,5
345,Alcinoüs,Areta,5
346,Alcinoüs,Side,5
347,Gods,Pow,5
348,Ulysses,Breast,5
349,Ulysses,Heard,5
350,Ulysses,Antinoüs,5
351,Chief,Side,5
352,Achaia,Host,5
353,Ulysses,Which,5
354,Ulysses,Dark,5
355,Ulysses,Way,5
356,Ulysses,Aid,5
357,Goddess,Circe,5
358,Circe,Palace,5
359,Cyclops,Man,5
360,Ulysses,Moment,5
361,Ithaca,Home,5
362,Circe,Goddess,5
363,Ulysses,Bosom,5
364,Laertiades,Thou,5
365,Theban,Seer,5
366,Thrinacia,Flocks,5
367,Ithaca,Ship,5
368,Scylla,Charybdis,5
369,Ithaca,Return,5
370,Hero,Jove,5
371,Lord,Return,5
372,Ulysses,Master,5
373,Ulysses,Consort,5
374,Ulysses,Truth,5
375,Telemachus,Answer,5
376,Ulysses,Dear,5
377,Eumæus,City,5
378,Telemachus,City,5
379,Eumæus,Suitors,5
380,Penelope,Eyes,5
381,Ulysses,Word,5
382,Ulysses,Force,5
383,Penelope,Discrete,5
384,Ulysses,Scar,5
385,Prince,Thou,5
386,Ulysses,Laertiades,5
387,Minerva,Return,4
388,Minerva,Telemachus,4
389,Sun,Jove,4
390,Jove,Rest,4
391,Deep,Home,4
392,Gods,Woes,4
393,Gods,Neptune,4
394,Neptune,Æthiopians,4
395,Ulysses,Shores,4
396,Jove,Abode,4
397,Sire,Son,4
398,Atrides,Son,4
399,Pallas,Sire,4
400,Ithaca,Meantime,4
401,Ulysses,Troy,4
402,Achaia,Thee,4
403,Achaia,Troy,4
404,Ulysses,Pow,4
405,Deep,Shores,4
406,Ulysses,Calypso,4
407,Ogygia,Calypso,4
408,Calypso,Divine,4
409,Ithaca,Son,4
410,Ithaca,Isle,4
411,Goddess,Hand,4
412,Minerva,Thou,4
413,Pallas,Time,4
414,Goddess,Chief,4
415,Hero,Laertes,4
416,Sire,Gods,4
417,Gods,Flood,4
418,Pallas,Thee,4
419,Penelope,Hath,4
420,Telemachus,Hast,4
421,Ulysses,People,4
422,Ulysses,Hope,4
423,Ilium,Greeks,4
424,Greeks,Son,4
425,Dulichium,Zacynthus,4
426,Gods,Father,4
427,Ulysses,Nuptials,4
428,Gods,Meantime,4
429,Nestor,Greece,4
430,Menelaus,Father,4
431,Telemachus,Friend,4
432,God,Suitors,4
433,God,Return,4
434,Gods,Song,4
435,Achaians,Troy,4
436,Troy,Return,4
437,Troy,Thy,4
438,Ulysses,Lids,4
439,Minerva,Suitors,4
440,Ithaca,Man,4
441,Telemachus,Assembly,4
442,Pallas,Suitors,4
443,Ulysses,Feet,4
444,Ulysses,Shore,4
445,Jove,Chief,4
446,Jove,Desire,4
447,Chief,None,4
448,Jove,Voice,4
449,Sire,Hath,4
450,Hero,Rest,4
451,Penelope,Suitors,4
452,Telemachus,Antinoüs,4
453,Hero,Prudent,4
454,Ithaca,Suitors,4
455,Telemachus,Gods,4
456,Gods,Bark,4
457,Ulysses,Mischief,4
458,Ulysses,All,4
459,Mentor,Thou,4
460,Pallas,Deep,4
461,Mentor,Telemachus,4
462,Antinoüs,Suitors,4
463,Ulysses,Chamber,4
464,Ulysses,Fill,4
465,Pallas,City,4
