,Source,Target,Weight
254,Ilium,Jove,10
255,Atrides,Men,10
256,Atrides,Thou,10
257,Jove,Sire,10
258,Troy,Arms,10
259,Jove,Ships,10
260,Idomeneus,Meriones,10
261,Achilles,Forth,10
262,Ajax,Achilles,10
263,Greece,Hector,10
264,Trojans,Grecians,10
265,Jove,Forth,10
266,Priam,Thy,10
267,Chiefs,Troy,10
268,Menelaus,Atreus,10
269,Greeks,Fight,10
270,Chief,Fight,10
271,Trojans,Sons,10
272,Thy,Son,10
273,Diomede,Thou,10
274,Hector,Thy,10
275,Sarpedon,Son,10
276,Jove,Heart,10
277,Jove,Death,10
278,Jove,God,10
279,Hector,None,10
280,Jove,Battle,10
281,Achilles,Hero,10
282,Ajax,Side,10
283,Ilium,Fleet,10
284,Hector,Breast,10
285,Hector,Sons,10
286,Achilles,Day,10
287,Hector,Ships,10
288,Achilles,Fear,10
289,Jove,Nor,10
290,Hector,Force,10
291,Chief,Ajax,10
292,Grecians,Ships,10
293,Achilles,Him,10
294,Menelaus,Antilochus,10
295,Patroclus,Thou,10
296,Shall,Thou,9
297,Troy,Steeds,9
298,Jove,King,9
299,Agamemnon,Chief,9
300,Patroclus,Forth,9
301,Greece,Agamemnon,9
302,Thetis,Son,9
303,Jove,Wrath,9
304,Greeks,War,9
305,Gods,Day,9
306,Gods,Thy,9
307,Agamemnon,Tent,9
308,Ilium,Gods,9
309,Troy,Field,9
310,Ulysses,Hand,9
311,Chief,Him,9
312,Jove,Omnipotent,9
313,Jove,Grecians,9
314,Grecians,Ajax,9
315,Tydeus,Chief,9
316,Hector,Chiefs,9
317,Hector,Ground,9
318,Chiefs,Agamemnon,9
319,Mars,Battle,9
320,Hector,Gates,9
321,Troy,Battle,9
322,Trojans,Book,9
323,Hector,Paris,9
324,Thou,Thy,9
325,Grecians,Arms,9
326,Chief,Fleet,9
327,Priam,Side,9
328,Thou,Gods,9
329,Ajax,Idomeneus,9
330,Paris,Helen,9
331,Hector,Ranks,9
332,Trojans,Allies,9
333,Juno,Minerva,9
334,Jove,Purpose,9
335,Mars,Pallas,9
336,Ajax,Arms,9
337,Trojans,Achilles,9
338,Mars,Fight,9
339,Troy,Flight,9
340,Hector,Hath,9
341,Grecians,Jove,9
342,Jove,Heights,9
343,Æneas,Hector,9
344,Ilium,Troy,9
345,Greeks,Thee,9
346,Hector,Glory,9
347,Hector,Armor,9
348,Hector,Apollo,9
349,Nestor,Thou,9
350,Diomede,Ulysses,9
351,Hector,Brave,9
352,Hector,Nor,9
353,Trojans,Lycians,9
354,Greeks,Nor,9
355,Teucer,Bow,9
356,Whom,Answer,9
357,Achilles,Slain,9
358,Nestor,Achilles,9
359,Menoetius,Son,9
360,Achilles,Priam,9
361,Jove,Side,9
362,Patroclus,Arms,9
363,Patroclus,Fleet,9
364,Patroclus,Troy,9
365,Pallas,Achilles,9
366,Priam,Father,9
367,Achilles,King,8
368,Achilles,Men,8
369,Achilles,Divine,8
370,Chiefs,Host,8
371,Achilles,Grecians,8
372,Troy,Hath,8
373,Troy,Apollo,8
374,Apollo,Host,8
375,Thou,Shalt,8
376,Thy,Gods,8
377,Gods,Force,8
378,Gods,Hand,8
379,Hector,Hast,8
380,Chief,Jove,8
381,Achilles,Myrmidons,8
382,Ulysses,Host,8
383,Gods,Goddess,8
384,Juno,Goddess,8
385,Gods,Heaven,8
386,Him,Men,8
387,Jove,Shall,8
388,Troy,Achaia,8
389,Troy,Shall,8
390,Gods,Trojans,8
391,Trojans,Thee,8
392,Jove,Till,8
393,Ulysses,Nestor,8
394,King,Greeks,8
395,Mars,Jove,8
396,Achaians,Jove,8
397,Ilium,Greeks,8
398,Greeks,Force,8
399,Agamemnon,Thee,8
400,Greeks,Agamemnon,8
401,Jove,Neptune,8
402,Diomede,Chief,8
403,Brave,Son,8
404,Achilles,War,8
405,Them,Son,8
406,Chiefs,Greece,8
407,Lycaon,Son,8
408,Antenor,Son,8
409,Mars,Side,8
410,Chief,Spear,8
411,Trojan,Troy,8
412,Jove,Minerva,8
413,Jove,Steeds,8
414,Menelaus,Thou,8
415,Troy,Glory,8
416,Diomede,Steeds,8
417,Chief,Steeds,8
418,Pallas,Mars,8
419,Trojans,Ajax,8
420,Ajax,Spear,8
421,Hector,Van,8
422,Pallas,Force,8
423,Tydides,Steeds,8
424,Jove,Hast,8
425,Diomede,Fight,8
426,Thou,Jove,8
427,Æneas,Son,8
428,Hector,Friend,8
429,Hector,God,8
430,Ajax,Trojan,8
431,Had,Hector,8
432,Hector,Flight,8
433,Achilles,Trojan,8
434,Hector,Call,8
435,Trojans,Men,8
436,Glaucus,Son,8
437,Jove,Goddess,8
438,Hector,Voice,8
439,Ajax,Friend,8
440,Trojans,Chief,8
441,Troy,Return,8
442,Trojans,Dardanus,8
443,Hector,Greece,8
444,Jove,Thy,8
445,Trojan,Fleet,8
446,Hector,Till,8
447,Troy,Peleus,8
448,Achilles,Greeks,8
449,Hector,Peleus,8
450,Patroclus,Side,8
451,Trojan,Battle,8
452,Chief,Friends,8
453,Achilles,Knees,8
454,Patroclus,Death,8
455,Asius,Son,8
456,Achilles,Ilium,8
457,Achaia,Achilles,8
458,Sarpedon,Patroclus,8
459,Patroclus,Trojans,8
460,Troy,Patroclus,8
461,Patroclus,Spear,8
462,Patroclus,Slain,8
463,Troy,Body,8
464,Peleus,Thou,8
465,Patroclus,Menelaus,8
466,Hector,Body,8
467,Achilles,Trojans,8
468,Achilles,Shield,8
469,Achaia,Jove,7
470,God,Host,7
471,Greece,Sons,7
472,Gods,Priam,7
473,God,Thee,7
474,Grecians,Achilles,7
475,Achilles,Atrides,7
476,Achilles,Apollo,7
477,Jove,Prayer,7
478,Him,Agamemnon,7
479,Greeks,Thou,7
480,Daughter,Jove,7
481,Jove,Agamemnon,7
482,Greeks,King,7
483,Chief,King,7
484,Gods,King,7
485,Into,Achilles,7
486,Achaians,Hath,7
487,Achilles,City,7
488,Gods,Neptune,7
489,Gods,Pallas,7
490,Neptune,Thou,7
491,Pallas,Thou,7
492,Him,Jove,7
493,Thetis,Thou,7
494,Thunderer,Son,7
495,King,Thee,7
496,Jove,Sons,7
497,Lest,Thee,7
498,Gods,Sire,7
499,Jove,Art,7
500,Achaians,Gods,7
501,Gods,Hath,7
502,Inform,Thee,7
503,Nestor,King,7
504,Nestor,Greeks,7
505,Achaians,Trojans,7
506,Achaians,Troy,7
507,Ilium,King,7
508,Jove,Hand,7
509,Laertes,Son,7
510,Chief,Sons,7
511,Priam,Gods,7
512,Troy,Beneath,7
513,Trojan,Heart,7
514,Athenæan,Pallas,7
515,Saturn,Jove,7
516,Agamemnon,Jove,7
517,Idomeneus,Son,7
518,Jove,Chief,7
519,Menelaus,Chief,7
520,Diomede,Agamemnon,7
521,Him,Bore,7
522,Chief,Battle,7
523,Hector,Rush,7
524,Chief,Thy,7
525,Menelaus,Troy,7
526,Trojan,Greeks,7
527,Grecians,Fight,7
528,Mars,Greeks,7
529,Priam,People,7
530,Menelaus,Friend,7
531,Ajax,Him,7
532,Him,Ajax,7
533,Jove,Fight,7
534,Priam,Steeds,7
535,Troy,Father,7
536,Troy,Arm,7
537,Greeks,Ilium,7
538,Greeks,Return,7
539,Chief,Forth,7
540,Greeks,Hand,7
541,Trojan,None,7
542,Jove,Part,7
543,Juno,Word,7
544,Menelaus,Arms,7
545,Chief,Van,7
546,Agamemnon,Ajax,7
547,Ajax,Fight,7
548,Chief,Arms,7
549,Tydeus,Diomede,7
550,Troy,Him,7
551,Him,Lance,7
552,Trojans,Battle,7
553,Pallas,Son,7
554,Grecians,Chief,7
555,Pallas,Troy,7
556,Jove,Flight,7
