Source,Target
dragon,victory
dragon,water
dreams,animals
dreams,ass
dreams,child
dreams,clothes
dreams,fire
dreams,hamlet
dreams,house
dreams,ocean
dreams,steps
dreams,water
dust,ash
dust,cow
dust,stone
eagle,animals
eagle,bird
eagle,birds
eagle,dragon
eagle,gorgon
eagle,jupiter
eagle,king
eagle,lion
eagle,mountain
eagle,music
eagle,procession
eagle,stag
eagle,triumph
earth,air
earth,animals
earth,bull
earth,chain
earth,clothes
earth,colour
earth,cow
earth,death
earth,desert
earth,devil
earth,dragon
earth,elements
earth,enchantment
earth,foot
earth,garden
earth,gold
earth,guardian
earth,head
earth,heart
earth,heaven
earth,hell
earth,intestines
earth,king
earth,lion
earth,locusts
earth,lyre
earth,man
earth,mask
earth,mountain
earth,mouth
earth,music
earth,oak
earth,ocean
earth,pan
earth,persephone
earth,plough
earth,procession
earth,rain
earth,saturn
earth,shape
earth,shoes
earth,smoke
earth,snow
earth,space
earth,stag
earth,stars
earth,steps
earth,sword
earth,temple
earth,tower
earth,tree
earth,water
earth,weapons
earth,wheel
earth,white
egg,fruit
egg,heaven
egypt,boat
egypt,cow
egypt,desert
egypt,egg
egypt,hawk
egypt,heaven
egypt,labyrinth
egypt,lion
egypt,serpent
egypt,temple
egypt,weaving
egypt,wind
elements,air
elements,bird
elements,bull
elements,chariot
elements,crow
elements,door
elements,dragon
elements,eagle
elements,father
elements,fight
elements,love
elements,minstrel
elements,mist
elements,mountain
elements,music
elements,names
elements,numbers
elements,twelve
elements,object
elements,procession
elements,rod
elements,scars
elements,smoke
elements,stars
elements,temple
elements,triumph
elements,trumpet
elements,water
elements,woman
elements,world
emperor,boar
emperor,dragon
emperor,hand
emperor,hare
emperor,plough
emperor,sword
enclosure,castle
enclosure,knot
enclosure,room
enclosure,wall
eternity,circle
eternity,heart
eve,colour
eve,serpent
eve,woman
eye,hand
eye,man
eye,mouth
eye,space
eye,thunderbolt
eye,trident
fall,chain
fall,deluge
fall,flight
fall,hell
fall,king
fall,locusts
fall,names
fall,year
farmer,boat
farmer,mars
farming,farmer
father,bull
father,chain
father,eagle
father,hamlet
father,king
father,room
father,staff
father,trident
fields,plants
fight,labyrinth
fight,monsters
fight,net
fight,pegasus
fight,sword
figures,ark
figures,box
figures,cavern
figures,city
figures,eye
figures,giant
figures,guardian
figures,horns
figures,horse
figures,image
figures,man
figures,persephone
figures,prince
figures,procession
figures,seasons
figures,serpent
figures,shape
figures,skull
figures,stag
figures,steed
figures,sword
figures,wheel
figures,wings
figures,year
fire,air
fire,animals
fire,ash
