,Source,Target,Weight
237,Baucis,Philemon,3
238,Quick,Flash,3
239,Jason,Heroes,3
240,Atalanta,Meleager,3
241,Atalanta,Woods,3
242,Again,Apple,3
243,Argos,Proitos,3
244,Proitos,Wife,3
245,Bellerophon,Proitos,3
246,Bellerophon,King,3
247,Bellerophon,Horse,3
248,Acrisios,Argos,3
249,Acrisios,Danae,3
250,Dictys,Polydectes,3
251,Danae,Polydectes,3
252,Perseus,Mother,3
253,Polydectes,Wife,3
254,Perseus,Polydectes,3
255,Medusa,Face,3
256,Perseus,Eye,3
257,Medusa,Head,3
258,Gorgons,Perseus,3
259,Perseus,Andromeda,3
260,Perseus,Air,3
261,Perseus,Danae,3
262,Aeson,Son,3
263,Aeson,Jason,3
264,Jason,Hero,3
265,Jason,Wood,3
266,Jason,Woman,3
267,Jason,King,3
268,Jason,Man,3
269,Jason,Heart,3
270,Athamas,Ino,3
271,Athamas,Phrixus,3
272,Argo,Lolcos,3
273,Argonauts,Day,3
274,Heracles,River,3
275,Heracles,Island,3
276,Amazons,Women,3
277,Jason,Comrades,3
278,Aeetes,Fleece,3
279,Aeetes,Jason,3
280,Aeetes,Face,3
281,Jason,Princess,3
282,Medea,Father,3
283,Pelias,Day,3
284,Medea,Day,3
285,Athens,Protector,3
286,Great,Theseus,3
287,Theseus,Aethra,3
288,Theseus,Palace,3
289,Athens,Aethra,3
290,Aethra,Aegeus,3
291,Theseus,Aegeus,3
292,Theseus,Sword,3
293,Theseus,Hand,3
294,Theseus,Land,3
295,Theseus,Athens,3
296,Theseus,Refuge,3
297,Sinis,Pine,3
298,Theseus,Place,3
299,Minotaur,King,3
300,Minotaur,Aegeus,3
301,Aegeus,Cousins,3
302,Minos,Tribute,3
303,Medea,Theseus,3
304,Theseus,King,3
305,Athenians,People,3
306,Heracles,Spite,3
307,Heracles,Night,3
308,Heracles,Wife,3
309,Alcmena,Iphicles,3
310,Iphicles,Heracles,3
311,Heracles,Thebes,3
312,Heracles,Rage,3
313,Heracles,Friend,3
314,Eurystheus,Coward,3
315,Eurystheus,Hero,3
316,Heracles,Twelve,3
317,Eurystheus,Thing,3
318,Heracles,Lolaus,3
319,Hydra,Lolaus,3
320,Heracles,Heads,3
321,Heracles,Fangs,3
322,Heracles,Branch,3
323,Heracles,Boar,3
324,Heracles,Savage,3
325,Heracles,Centaur,3
326,Heracles,Poison,3
327,Heracles,Wound,3
328,Heracles,Weight,3
329,Heracles,City,3
330,Heracles,Gate,3
331,Heracles,Augeas,3
332,Augeas,Heracles,3
333,Eurystheus,Augeas,3
334,Heracles,Herds,3
335,Heracles,Part,3
336,Heracles,Crete,3
337,Minos,Sea,3
338,Heracles,Bull,3
339,Gadira,Geryon,3
340,North,Spain,3
341,Africa,Spain,3
342,Heracles,Geryon,3
343,Heracles,God,3
344,Hades,Heracles,3
345,Heracles,Water,3
346,Hades,Chair,3
347,Heracles,Lole,3
348,Deianira,Centaur,3
349,Heracles,Deianira,3
350,Stories,Trickery,2
351,Stories,Hermes,2
352,Hermes,Messenger,2
353,Hermes,Trickery,2
354,Zeus,Mother,2
355,Zeus,Cave,2
356,Maia,Cave,2
357,Maia,Baby,2
358,Hermes,Myths,2
359,Hermes,Time,2
360,Hermes,Sun,2
361,Hermes,Meadow,2
362,Hermes,Bedclothes,2
363,Hermes,Voice,2
364,Zeus,Father,2
365,Zeus,Apollo,2
366,Apollo,Song,2
367,Apollo,Music,2
368,Olympus,Lyre,2
369,Hermes,Men,2
370,Zeus,Sun,2
371,Glytie,Love,2
372,Apollo,Longing,2
373,Apollo,Day,2
374,Apollo,Woods,2
375,Daphne,God,2
376,Daphne,Nymphs,2
377,Apollo,Laurel,2
378,Apollo,Daphne,2
379,Apollo,Memory,2
380,Apollo,Clymene,2
381,Daphne,Phaethon,2
382,Clymene,Phaethon,2
383,Clymene,Mother,2
384,Phaethon,Halls,2
385,Phaethon,Olympus,2
386,Eos,Goddess,2
387,Eos,Dawn,2
388,Phaethon,Father,2
389,Phaethon,Honor,2
390,Phaethon,Son,2
391,Phaethon,Boy,2
392,Epaphos,Phaethon,2
393,Epaphos,Day,2
394,Epaphos,Temper,2
395,Phoebus,Apollo,2
396,Phoebus,Son,2
397,Phaethon,Sun,2
398,Hours,Chariot,2
399,Hours,Horses,2
400,Phaethon,Horses,2
401,Phaethon,Rail,2
402,Apollo,Earth,2
403,Greece,Country,2
404,Cecrops,City,2
405,Athene,Wisdom,2
406,Athene,City,2
407,Poseidon,Athene,2
408,Athene,Spear,2
409,Poseidon,Earth,2
410,Poseidon,Gift,2
411,Poseidon,Sea,2
412,Poseidon,Power,2
413,Athene,Athens,2
414,Athens,Beauty,2
415,Athens,Wisdom,2
416,Athens,Athene,2
417,Athens,City,2
418,Athenians,Temple,2
419,Athenians,Honor,2
420,Athenians,Goddess,2
421,Greece,Father,2
422,Greece,Arachne,2
423,Arachne,Thread,2
424,Arachne,Cloth,2
425,Arachne,Working,2
426,Greece,Fame,2
427,Greece,People,2
428,Arachne,Loom,2
429,Arachne,Hand,2
430,Athene,Weaving,2
431,Arachne,Woman,2
432,Athene,Words,2
433,Arachne,Goddess,2
434,Athene,Ing,2
435,Arachne,Maiden,2
436,Arachne,Face,2
437,Arachne,Fear,2
438,Arachne,Pride,2
439,Demeter,Earth,2
440,Demeter,Goddess,2
441,Persephone,Maiden,2
442,Persephone,Sicily,2
443,Persephone,Home,2
