Source,Target
hand,space
hand,stars
hand,sword
hand,temple
hand,throne
hand,tree
hand,trident
hand,water
hand,weapons
hand,wine
hat,helmet
hat,minstrel
head,apollo
head,ass
head,bird
head,boar
head,bull
head,clothes
head,crown
head,dragon
head,eagle
head,eye
head,figures
head,fish
head,hair
head,hat
head,helmet
head,horns
head,house
head,man
head,minotaur
head,monsters
head,pegasus
head,power
head,serpent
head,temple
head,water
head,woman
heart,arrow
heart,cavern
heart,creation
heart,gold
heart,hunter
heart,love
heart,man
heart,palace
heart,space
heat,air
heat,ass
heat,fire
heat,sun
heat,sword
heaven,animals
heaven,birds
heaven,bull
heaven,child
heaven,dreams
heaven,father
heaven,fields
heaven,fish
heaven,head
heaven,hole
heaven,king
heaven,labyrinth
heaven,lyre
heaven,mountain
heaven,mouth
heaven,music
heaven,object
heaven,shape
heaven,smoke
heaven,steps
heaven,stone
heaven,temple
heaven,tree
heaven,water
hecate,head
hecate,serpent
hecate,trident
helmet,crest
helmet,weapons
hero,animals
hero,cloak
hero,dragon
hero,giant
hero,hesperides
hero,island
hero,king
hero,laurel
hero,mountain
hero,plough
hero,prince
hero,ship
hero,steps
hero,treasure
hero,weapons
hole,door
hole,time
honey,blood
horns,bull
horns,dragon
horns,hero
horns,lyre
horns,man
horns,ocean
horns,pan
horns,power
horse,animals
horse,dragon
horse,minotaur
horse,pegasus
hours,twelve
house,boat
house,forest
house,king
house,mirror
house,mother
house,room
house,stone
house,temple
house,wall
house,water
hunt,hunter
hunter,water
image,barriers
image,cavern
image,chariot
image,dove
image,dragon
image,drink
image,fire
image,giant
image,gold
image,head
image,heart
image,heat
image,house
image,journey
image,justice
image,king
image,lake
image,man
image,mirror
image,moon
image,mother
image,mountain
image,music
image,twelve
image,ocean
image,power
image,room
image,shadow
image,shape
image,stars
image,steps
image,stone
image,strength
image,temple
image,thunderbolt
image,tower
image,treasure
image,voyage
image,wall
image,war
image,water
image,woman
image,world
island,garden
island,labyrinth
island,ocean
island,ship
island,temple
ivy,basket
journey,temple
journey,time
journey,voyage
justice,animals
justice,hours
justice,steps
justice,wings
king,blood
king,crown
king,giant
king,hand
king,hunter
king,man
king,marriage
king,mountain
king,palace
king,power
king,prince
king,stranger
king,sun
knife,weapons
labyrinth,minotaur
labyrinth,voyage
lake,bird
lake,hunter
lake,labyrinth
lake,styx
lake,water
lake,well
laurel,tree
leopard,animals
life,ages
life,air
life,animals
life,ants
life,birds
life,box
life,cauldron
life,cerberus
life,child
life,crown
life,death
life,desert
life,destruction
life,eagle
life,eve
life,farmer
life,fire
life,fish
life,forest
life,garland
life,giant
life,head
life,hero
life,horse
life,house
life,king
life,labyrinth
life,lake
life,lion
life,loss
life,man
life,mirror
life,mist
life,monsters
life,mountain
life,ocean
life,pan
life,reins
life,rock
life,ruins
life,saturn
life,sea
life,serpent
life,shape
life,space
life,sword
life,teeth
life,tower
life,treasure
life,tree
life,valley
life,vine
life,water
life,weaving
life,well
life,wine
life,world
life,year
light,air
light,animals
light,arrow
light,boar
light,crown
light,darkness
light,death
light,dew
light,diadem
light,eagle
light,earth
light,eye
light,father
light,fire
light,flame
light,forest
light,gold
light,head
light,heaven
light,king
light,lion
light,man
light,mirror
light,monsters
light,music
light,object
light,shadow
light,sound
light,sun
light,sword
light,tree
light,wall
light,war
light,wings
lion,animals
lion,chariot
lion,desert
lion,dog
lion,eagle
lion,gorgon
lion,king
lion,leopard
lion,music
lion,strength
lion,triumph
loss,adventure
loss,labyrinth
loss,river
loss,teeth
loss,world
love,adventure
love,flight
love,hand
love,heart
love,king
love,mountain
love,wings
love,world
lover,heart
lyre,mouth
man,ages
man,animals
man,bear
man,bird
man,blood
man,cauldron
man,child
man,destruction
man,eagle
man,egypt
man,farmer
man,fire
man,foot
man,forest
man,giant
man,gold
man,hat
man,heart
man,heaven
man,hero
man,horse
man,hunter
man,king
man,knife
man,lake
man,marriage
man,minotaur
man,monsters
man,mother
man,mouth
man,music
man,object
man,palace
man,pillar
man,rock
man,shape
man,space
man,teeth
man,treasure
man,war
man,water
man,well
man,wine
man,woman
man,year
marks,ass
marks,journey
marks,sign
marriage,cloak
marriage,forest
marriage,man
matter,air
matter,animals
